Player,Squad,Age,Pos_clean,Comp,valor_real,valor_predicho,diferencia,diferencia_pct
Rayan Aït-Nouri,Wolves,23.0,DF,eng Premier League,36.0,49.73686133654177,13.736861336541772,0.3815794815706048
Illia Zabarnyi,Bournemouth,21.0,DF,eng Premier League,43.0,38.45225751840518,-4.547742481594817,-0.10576145306034458
Morten Frendrup,Genoa,23.0,MF,it Serie A,21.0,8.70635304268952,-12.29364695731048,-0.5854117598719276
Keane Lewis-Potter,Brentford,23.0,DF,eng Premier League,24.000000000000004,34.084479089170785,10.084479089170781,0.42018662871544915
Tyrick Mitchell,Crystal Palace,24.0,DF,eng Premier League,26.000000000000004,23.386786504608917,-2.6132134953910864,-0.10050821136119562
Carlos Vicente,Alavés,25.0,FW,es La Liga,4.999999999999999,14.604520844138344,9.604520844138346,1.9209041688276696
Dodi Lukebakio,Sevilla,26.0,FW,es La Liga,21.0,26.252517076218652,5.252517076218652,0.25011986077231674
Aarón Martín,Genoa,27.0,DF,it Serie A,7.499999999999999,10.529260360526091,3.0292603605260924,0.40390138140347903
Vitaliy Mykolenko,Everton,25.0,DF,eng Premier League,29.000000000000004,16.79149395085072,-12.208506049149282,-0.42098296721204415
Jesús Areso,Osasuna,25.0,DF,es La Liga,13.0,12.017121167739678,-0.9828788322603224,-0.0756060640200248
Calvin Bassey,Fulham,24.0,DF,eng Premier League,26.000000000000004,47.80145180573458,21.801451805734576,0.8385173771436374
Andrei Ratiu,Rayo Vallecano,26.0,DF,es La Liga,13.0,14.353032527335959,1.3530325273359587,0.10407942517968913
Idrissa Gana Gueye,Everton,34.0,MF,eng Premier League,4.999999999999999,4.867459505644227,-0.13254049435577198,-0.0265080988711544
Jordan Lefort,Angers,30.0,DF,fr Ligue 1,2.5,6.108183675189235,3.6081836751892347,1.443273470075694
Danilho Doekhi,Union Berlin,26.0,DF,de Bundesliga,13.999999999999996,7.517305956703743,-6.482694043296253,-0.4630495745211611
Patrick Mainka,Heidenheim,29.0,DF,de Bundesliga,4.0,6.444312394288984,2.4443123942889837,0.6110780985722459
Gabriele Zappa,Cagliari,24.0,DF,it Serie A,4.999999999999999,18.274097039867993,13.274097039867993,2.654819407973599
Marc Guéhi,Crystal Palace,24.0,DF,eng Premier League,46.0,38.55052864083278,-7.4494713591672195,-0.16194502954711346
Marten de Roon,Atalanta,33.0,MF,it Serie A,6.0,10.082862070465824,4.082862070465824,0.680477011744304
Nikola Krstović,Lecce,24.0,FW,it Serie A,15.999999999999998,21.165692116825834,5.165692116825836,0.3228557573016148
